Industry,Unit,Region,Date,Value
GDP All industries: Gross domestic product (GDPR) at market prices,"R million at constant 2010 prices, seasonally adjusted and annualised",P4: Free State,1997Q4,116834.449309587
GDP All industries: Gross domestic product (GDPR) at market prices,"R million at constant 2010 prices, seasonally adjusted and annualised",P5: KwaZulu-Natal,1997Q4,287484.12625838
GDP All industries: Gross domestic product (GDPR) at market prices,"R million at constant 2010 prices, seasonally adjusted and annualised",P6: North West,1997Q4,141185.440666294
GDP All industries: Gross domestic product (GDPR) at market prices,"R million at constant 2010 prices, seasonally adjusted and annualised",P7: Gauteng,1997Q4,593293.247166837
GDP All industries: Gross domestic product (GDPR) at market prices,"R million at constant 2010 prices, seasonally adjusted and annualised",P8: Mpumalanga,1997Q4,150801.937106201
GDP All industries: Gross domestic product (GDPR) at market prices,"R million at constant 2010 prices, seasonally adjusted and annualised",P9: Limpopo,1997Q4,143595.888074757
GDP All industries: Gross domestic product (GDPR) at market prices,"R million at constant 2010 prices, seasonally adjusted and annualised",Total: South Africa,1998Q1,1869939.949387
GDP All industries: Gross domestic product (GDPR) at market prices,"R million at constant 2010 prices, seasonally adjusted and annualised",P1: Western Cape,1998Q1,233539.89377388
GDP All industries: Gross domestic product (GDPR) at market prices,"R million at constant 2010 prices, seasonally adjusted and annualised",P2: Eastern Cape,1998Q1,148023.952117391
GDP All industries: Gross domestic product (GDPR) at market prices,"R million at constant 2010 prices, seasonally adjusted and annualised",P3: Northern Cape,1998Q1,48828.4370704775
GDP All industries: Gross domestic product (GDPR) at market prices,"R million at constant 2010 prices, seasonally adjusted and annualised",P4: Free State,1998Q1,113207.250626971
GDP All industries: Gross domestic product (GDPR) at market prices,"R million at constant 2010 prices, seasonally adjusted and annualised",P5: KwaZulu-Natal,1998Q1,290152.253172296
GDP All industries: Gross domestic product (GDPR) at market prices,"R million at constant 2010 prices, seasonally adjusted and annualised",P6: North West,1998Q1,141623.958380448
GDP All industries: Gross domestic product (GDPR) at market prices,"R million at constant 2010 prices, seasonally adjusted and annualised",P7: Gauteng,1998Q1,597579.816153995
GDP All industries: Gross domestic product (GDPR) at market prices,"R million at constant 2010 prices, seasonally adjusted and annualised",P8: Mpumalanga,1998Q1,151187.111575959
GDP All industries: Gross domestic product (GDPR) at market prices,"R million at constant 2010 prices, seasonally adjusted and annualised",P9: Limpopo,1998Q1,145797.276515584
GDP All industries: Gross domestic product (GDPR) at market prices,"R million at constant 2010 prices, seasonally adjusted and annualised",Total: South Africa,1998Q2,1870995.547865
GDP All industries: Gross domestic product (GDPR) at market prices,"R million at constant 2010 prices, seasonally adjusted and annualised",P1: Western Cape,1998Q2,233824.164319331
GDP All industries: Gross domestic product (GDPR) at market prices,"R million at constant 2010 prices, seasonally adjusted and annualised",P2: Eastern Cape,1998Q2,148150.713033664
GDP All industries: Gross domestic product (GDPR) at market prices,"R million at constant 2010 prices, seasonally adjusted and annualised",P3: Northern Cape,1998Q2,48870.9946976613
GDP All industries: Gross domestic product (GDPR) at market prices,"R million at constant 2010 prices, seasonally adjusted and annualised",P4: Free State,1998Q2,111996.726416443
GDP All industries: Gross domestic product (GDPR) at market prices,"R million at constant 2010 prices, seasonally adjusted and annualised",P5: KwaZulu-Natal,1998Q2,290118.501350833
GDP All industries: Gross domestic product (GDPR) at market prices,"R million at constant 2010 prices, seasonally adjusted and annualised",P6: North West,1998Q2,141128.868264653
GDP All industries: Gross domestic product (GDPR) at market prices,"R million at constant 2010 prices, seasonally adjusted and annualised",P7: Gauteng,1998Q2,599339.81695707
GDP All industries: Gross domestic product (GDPR) at market prices,"R million at constant 2010 prices, seasonally adjusted and annualised",P8: Mpumalanga,1998Q2,151096.281809334
GDP All industries: Gross domestic product (GDPR) at market prices,"R million at constant 2010 prices, seasonally adjusted and annualised",P9: Limpopo,1998Q2,146469.481016011
GDP All industries: Gross domestic product (GDPR) at market prices,"R million at constant 2010 prices, seasonally adjusted and annualised",Total: South Africa,1998Q3,1866498.769112
GDP All industries: Gross domestic product (GDPR) at market prices,"R million at constant 2010 prices, seasonally adjusted and annualised",P1: Western Cape,1998Q3,233498.990407557
GDP All industries: Gross domestic product (GDPR) at market prices,"R million at constant 2010 prices, seasonally adjusted and annualised",P2: Eastern Cape,1998Q3,147822.394542469
GDP All industries: Gross domestic product (GDPR) at market prices,"R million at constant 2010 prices, seasonally adjusted and annualised",P3: Northern Cape,1998Q3,48860.3157093695
GDP All industries: Gross domestic product (GDPR) at market prices,"R million at constant 2010 prices, seasonally adjusted and annualised",P4: Free State,1998Q3,111118.878143247
GDP All industries: Gross domestic product (GDPR) at market prices,"R million at constant 2010 prices, seasonally adjusted and annualised",P5: KwaZulu-Natal,1998Q3,288687.047066521
GDP All industries: Gross domestic product (GDPR) at market prices,"R million at constant 2010 prices, seasonally adjusted and annualised",P6: North West,1998Q3,140631.351552832
GDP All industries: Gross domestic product (GDPR) at market prices,"R million at constant 2010 prices, seasonally adjusted and annualised",P7: Gauteng,1998Q3,598370.462690337
GDP All industries: Gross domestic product (GDPR) at market prices,"R million at constant 2010 prices, seasonally adjusted and annualised",P8: Mpumalanga,1998Q3,150831.135634041
GDP All industries: Gross domestic product (GDPR) at market prices,"R million at constant 2010 prices, seasonally adjusted and annualised",P9: Limpopo,1998Q3,146678.193365626
GDP All industries: Gross domestic product (GDPR) at market prices,"R million at constant 2010 prices, seasonally adjusted and annualised",Total: South Africa,1998Q4,1867887.616721
GDP All industries: Gross domestic product (GDPR) at market prices,"R million at constant 2010 prices, seasonally adjusted and annualised",P1: Western Cape,1998Q4,234086.020224452
GDP All industries: Gross domestic product (GDPR) at market prices,"R million at constant 2010 prices, seasonally adjusted and annualised",P2: Eastern Cape,1998Q4,147810.083343805
GDP All industries: Gross domestic product (GDPR) at market prices,"R million at constant 2010 prices, seasonally adjusted and annualised",P3: Northern Cape,1998Q4,49068.2207064453
GDP All industries: Gross domestic product (GDPR) at market prices,"R million at constant 2010 prices, seasonally adjusted and annualised",P4: Free State,1998Q4,111188.096401452
GDP All industries: Gross domestic product (GDPR) at market prices,"R million at constant 2010 prices, seasonally adjusted and annualised",P5: KwaZulu-Natal,1998Q4,287985.83004515
GDP All industries: Gross domestic product (GDPR) at market prices,"R million at constant 2010 prices, seasonally adjusted and annualised",P6: North West,1998Q4,140800.961488773
GDP All industries: Gross domestic product (GDPR) at market prices,"R million at constant 2010 prices, seasonally adjusted and annualised",P7: Gauteng,1998Q4,598616.302341958
GDP All industries: Gross domestic product (GDPR) at market prices,"R million at constant 2010 prices, seasonally adjusted and annualised",P8: Mpumalanga,1998Q4,151319.324303916
GDP All industries: Gross domestic product (GDPR) at market prices,"R million at constant 2010 prices, seasonally adjusted and annualised",P9: Limpopo,1998Q4,147012.777865048
GDP All industries: Gross domestic product (GDPR) at market prices,"R million at constant 2010 prices, seasonally adjusted and annualised",Total: South Africa,1999Q1,1883519.020744
GDP All industries: Gross domestic product (GDPR) at market prices,"R million at constant 2010 prices, seasonally adjusted and annualised",P1: Western Cape,1999Q1,238321.655951766
GDP All industries: Gross domestic product (GDPR) at market prices,"R million at constant 2010 prices, seasonally adjusted and annualised",P2: Eastern Cape,1999Q1,149455.439777578
GDP All industries: Gross domestic product (GDPR) at market prices,"R million at constant 2010 prices, seasonally adjusted and annualised",P3: Northern Cape,1999Q1,49548.1882634011
GDP All industries: Gross domestic product (GDPR) at market prices,"R million at constant 2010 prices, seasonally adjusted and annualised",P4: Free State,1999Q1,114653.314171163
GDP All industries: Gross domestic product (GDPR) at market prices,"R million at constant 2010 prices, seasonally adjusted and annualised",P5: KwaZulu-Natal,1999Q1,286698.882876295
GDP All industries: Gross domestic product (GDPR) at market prices,"R million at constant 2010 prices, seasonally adjusted and annualised",P6: North West,1999Q1,142670.604700776
GDP All industries: Gross domestic product (GDPR) at market prices,"R million at constant 2010 prices, seasonally adjusted and annualised",P7: Gauteng,1999Q1,601142.098509785
GDP All industries: Gross domestic product (GDPR) at market prices,"R million at constant 2010 prices, seasonally adjusted and annualised",P8: Mpumalanga,1999Q1,153359.661878323
GDP All industries: Gross domestic product (GDPR) at market prices,"R million at constant 2010 prices, seasonally adjusted and annualised",P9: Limpopo,1999Q1,147669.174614913
GDP All industries: Gross domestic product (GDPR) at market prices,"R million at constant 2010 prices, seasonally adjusted and annualised",Total: South Africa,1999Q2,1896306.831937
GDP All industries: Gross domestic product (GDPR) at market prices,"R million at constant 2010 prices, seasonally adjusted and annualised",P1: Western Cape,1999Q2,240857.195006002
GDP All industries: Gross domestic product (GDPR) at market prices,"R million at constant 2010 prices, seasonally adjusted and annualised",P2: Eastern Cape,1999Q2,150734.605597172
GDP All industries: Gross domestic product (GDPR) at market prices,"R million at constant 2010 prices, seasonally adjusted and annualised",P3: Northern Cape,1999Q2,49807.7983296415
GDP All industries: Gross domestic product (GDPR) at market prices,"R million at constant 2010 prices, seasonally adjusted and annualised",P4: Free State,1999Q2,115620.716699167
GDP All industries: Gross domestic product (GDPR) at market prices,"R million at constant 2010 prices, seasonally adjusted and annualised",P5: KwaZulu-Natal,1999Q2,287879.059739397
GDP All industries: Gross domestic product (GDPR) at market prices,"R million at constant 2010 prices, seasonally adjusted and annualised",P6: North West,1999Q2,143052.503067243
GDP All industries: Gross domestic product (GDPR) at market prices,"R million at constant 2010 prices, seasonally adjusted and annualised",P7: Gauteng,1999Q2,605977.777639572
GDP All industries: Gross domestic product (GDPR) at market prices,"R million at constant 2010 prices, seasonally adjusted and annualised",P8: Mpumalanga,1999Q2,154414.837913399
GDP All industries: Gross domestic product (GDPR) at market prices,"R million at constant 2010 prices, seasonally adjusted and annualised",P9: Limpopo,1999Q2,147962.337945407
GDP All industries: Gross domestic product (GDPR) at market prices,"R million at constant 2010 prices, seasonally adjusted and annualised",Total: South Africa,1999Q3,1915065.776922
GDP All industries: Gross domestic product (GDPR) at market prices,"R million at constant 2010 prices, seasonally adjusted and annualised",P1: Western Cape,1999Q3,243896.305717056
GDP All industries: Gross domestic product (GDPR) at market prices,"R million at constant 2010 prices, seasonally adjusted and annualised",P2: Eastern Cape,1999Q3,152381.210907427
GDP All industries: Gross domestic product (GDPR) at market prices,"R million at constant 2010 prices, seasonally adjusted and annualised",P3: Northern Cape,1999Q3,50214.0327134779
GDP All industries: Gross domestic product (GDPR) at market prices,"R million at constant 2010 prices, seasonally adjusted and annualised",P4: Free State,1999Q3,116713.292260121
GDP All industries: Gross domestic product (GDPR) at market prices,"R million at constant 2010 prices, seasonally adjusted and annualised",P5: KwaZulu-Natal,1999Q3,290295.261629945
GDP All industries: Gross domestic product (GDPR) at market prices,"R million at constant 2010 prices, seasonally adjusted and annualised",P6: North West,1999Q3,143879.929126394
GDP All industries: Gross domestic product (GDPR) at market prices,"R million at constant 2010 prices, seasonally adjusted and annualised",P7: Gauteng,1999Q3,613131.341133027
GDP All industries: Gross domestic product (GDPR) at market prices,"R million at constant 2010 prices, seasonally adjusted and annualised",P8: Mpumalanga,1999Q3,155958.64417415
GDP All industries: Gross domestic product (GDPR) at market prices,"R million at constant 2010 prices, seasonally adjusted and annualised",P9: Limpopo,1999Q3,148595.759260402
GDP All industries: Gross domestic product (GDPR) at market prices,"R million at constant 2010 prices, seasonally adjusted and annualised",Total: South Africa,1999Q4,1934438.18245
GDP All industries: Gross domestic product (GDPR) at market prices,"R million at constant 2010 prices, seasonally adjusted and annualised",P1: Western Cape,1999Q4,246744.39445121
GDP All industries: Gross domestic product (GDPR) at market prices,"R million at constant 2010 prices, seasonally adjusted and annualised",P2: Eastern Cape,1999Q4,153975.084549319
GDP All industries: Gross domestic product (GDPR) at market prices,"R million at constant 2010 prices, seasonally adjusted and annualised",P3: Northern Cape,1999Q4,50637.9698857958
GDP All industries: Gross domestic product (GDPR) at market prices,"R million at constant 2010 prices, seasonally adjusted and annualised",P4: Free State,1999Q4,117625.555222311
GDP All industries: Gross domestic product (GDPR) at market prices,"R million at constant 2010 prices, seasonally adjusted and annualised",P5: KwaZulu-Natal,1999Q4,293239.476524536
GDP All industries: Gross domestic product (GDPR) at market prices,"R million at constant 2010 prices, seasonally adjusted and annualised",P6: North West,1999Q4,144648.514530287
GDP All industries: Gross domestic product (GDPR) at market prices,"R million at constant 2010 prices, seasonally adjusted and annualised",P7: Gauteng,1999Q4,620881.999953317
GDP All industries: Gross domestic product (GDPR) at market prices,"R million at constant 2010 prices, seasonally adjusted and annualised",P8: Mpumalanga,1999Q4,157573.85044563
GDP All industries: Gross domestic product (GDPR) at market prices,"R million at constant 2010 prices, seasonally adjusted and annualised",P9: Limpopo,1999Q4,149111.336887594
GDP All industries: Gross domestic product (GDPR) at market prices,"R million at constant 2010 prices, seasonally adjusted and annualised",Total: South Africa,2000Q1,1953371.722551
GDP All industries: Gross domestic product (GDPR) at market prices,"R million at constant 2010 prices, seasonally adjusted and annualised",P1: Western Cape,2000Q1,248803.321474378
GDP All industries: Gross domestic product (GDPR) at market prices,"R million at constant 2010 prices, seasonally adjusted and annualised",P2: Eastern Cape,2000Q1,156117.237213813
GDP All industries: Gross domestic product (GDPR) at market prices,"R million at constant 2010 prices, seasonally adjusted and annualised",P3: Northern Cape,2000Q1,51004.3520814641
GDP All industries: Gross domestic product (GDPR) at market prices,"R million at constant 2010 prices, seasonally adjusted and annualised",P4: Free State,2000Q1,117959.949826621
GDP All industries: Gross domestic product (GDPR) at market prices,"R million at constant 2010 prices, seasonally adjusted and annualised",P5: KwaZulu-Natal,2000Q1,296745.230571338
GDP All industries: Gross domestic product (GDPR) at market prices,"R million at constant 2010 prices, seasonally adjusted and annualised",P6: North West,2000Q1,143993.537182254
GDP All industries: Gross domestic product (GDPR) at market prices,"R million at constant 2010 prices, seasonally adjusted and annualised",P7: Gauteng,2000Q1,633497.68967388
GDP All industries: Gross domestic product (GDPR) at market prices,"R million at constant 2010 prices, seasonally adjusted and annualised",P8: Mpumalanga,2000Q1,158326.171312706
GDP All industries: Gross domestic product (GDPR) at market prices,"R million at constant 2010 prices, seasonally adjusted and annualised",P9: Limpopo,2000Q1,146924.233214544
GDP All industries: Gross domestic product (GDPR) at market prices,"R million at constant 2010 prices, seasonally adjusted and annualised",Total: South Africa,2000Q2,1969200.858046
GDP All industries: Gross domestic product (GDPR) at market prices,"R million at constant 2010 prices, seasonally adjusted and annualised",P1: Western Cape,2000Q2,251174.716957059
GDP All industries: Gross domestic product (GDPR) at market prices,"R million at constant 2010 prices, seasonally adjusted and annualised",P2: Eastern Cape,2000Q2,157514.785756402
GDP All industries: Gross domestic product (GDPR) at market prices,"R million at constant 2010 prices, seasonally adjusted and annualised",P3: Northern Cape,2000Q2,51103.4961671857
GDP All industries: Gross domestic product (GDPR) at market prices,"R million at constant 2010 prices, seasonally adjusted and annualised",P4: Free State,2000Q2,118121.432640595
GDP All industries: Gross domestic product (GDPR) at market prices,"R million at constant 2010 prices, seasonally adjusted and annualised",P5: KwaZulu-Natal,2000Q2,299999.518418034
GDP All industries: Gross domestic product (GDPR) at market prices,"R million at constant 2010 prices, seasonally adjusted and annualised",P6: North West,2000Q2,144201.217793681
GDP All industries: Gross domestic product (GDPR) at market prices,"R million at constant 2010 prices, seasonally adjusted and annualised",P7: Gauteng,2000Q2,640311.48852783
GDP All industries: Gross domestic product (GDPR) at market prices,"R million at constant 2010 prices, seasonally adjusted and annualised",P8: Mpumalanga,2000Q2,159223.483087799
GDP All industries: Gross domestic product (GDPR) at market prices,"R million at constant 2010 prices, seasonally adjusted and annualised",P9: Limpopo,2000Q2,147550.718697415
GDP All industries: Gross domestic product (GDPR) at market prices,"R million at constant 2010 prices, seasonally adjusted and annualised",Total: South Africa,2000Q3,1985816.064453
GDP All industries: Gross domestic product (GDPR) at market prices,"R million at constant 2010 prices, seasonally adjusted and annualised",P1: Western Cape,2000Q3,254071.540130353
GDP All industries: Gross domestic product (GDPR) at market prices,"R million at constant 2010 prices, seasonally adjusted and annualised",P2: Eastern Cape,2000Q3,158908.393727946
GDP All industries: Gross domestic product (GDPR) at market prices,"R million at constant 2010 prices, seasonally adjusted and annualised",P3: Northern Cape,2000Q3,51002.9056247565
GDP All industries: Gross domestic product (GDPR) at market prices,"R million at constant 2010 prices, seasonally adjusted and annualised",P4: Free State,2000Q3,118009.967345784
GDP All industries: Gross domestic product (GDPR) at market prices,"R million at constant 2010 prices, seasonally adjusted and annualised",P5: KwaZulu-Natal,2000Q3,303876.191873178
GDP All industries: Gross domestic product (GDPR) at market prices,"R million at constant 2010 prices, seasonally adjusted and annualised",P6: North West,2000Q3,144281.1750281
GDP All industries: Gross domestic product (GDPR) at market prices,"R million at constant 2010 prices, seasonally adjusted and annualised",P7: Gauteng,2000Q3,647070.558359193
GDP All industries: Gross domestic product (GDPR) at market prices,"R million at constant 2010 prices, seasonally adjusted and annualised",P8: Mpumalanga,2000Q3,159913.517551714
GDP All industries: Gross domestic product (GDPR) at market prices,"R million at constant 2010 prices, seasonally adjusted and annualised",P9: Limpopo,2000Q3,148681.814811976
GDP All industries: Gross domestic product (GDPR) at market prices,"R million at constant 2010 prices, seasonally adjusted and annualised",Total: South Africa,2000Q4,2000956.088639
GDP All industries: Gross domestic product (GDPR) at market prices,"R million at constant 2010 prices, seasonally adjusted and annualised",P1: Western Cape,2000Q4,256531.542068574
GDP All industries: Gross domestic product (GDPR) at market prices,"R million at constant 2010 prices, seasonally adjusted and annualised",P2: Eastern Cape,2000Q4,159851.36924136
GDP All industries: Gross domestic product (GDPR) at market prices,"R million at constant 2010 prices, seasonally adjusted and annualised",P3: Northern Cape,2000Q4,50872.1507940014
GDP All industries: Gross domestic product (GDPR) at market prices,"R million at constant 2010 prices, seasonally adjusted and annualised",P4: Free State,2000Q4,117566.245633271
GDP All industries: Gross domestic product (GDPR) at market prices,"R million at constant 2010 prices, seasonally adjusted and annualised",P5: KwaZulu-Natal,2000Q4,307420.22623966
GDP All industries: Gross domestic product (GDPR) at market prices,"R million at constant 2010 prices, seasonally adjusted and annualised",P6: North West,2000Q4,144884.671255527
GDP All industries: Gross domestic product (GDPR) at market prices,"R million at constant 2010 prices, seasonally adjusted and annualised",P7: Gauteng,2000Q4,652389.214421663
GDP All industries: Gross domestic product (GDPR) at market prices,"R million at constant 2010 prices, seasonally adjusted and annualised",P8: Mpumalanga,2000Q4,160707.183768436
GDP All industries: Gross domestic product (GDPR) at market prices,"R million at constant 2010 prices, seasonally adjusted and annualised",P9: Limpopo,2000Q4,150733.485216509
GDP All industries: Gross domestic product (GDPR) at market prices,"R million at constant 2010 prices, seasonally adjusted and annualised",Total: South Africa,2001Q1,2012775.733928
GDP All industries: Gross domestic product (GDPR) at market prices,"R million at constant 2010 prices, seasonally adjusted and annualised",P1: Western Cape,2001Q1,258984.615594953
GDP All industries: Gross domestic product (GDPR) at market prices,"R million at constant 2010 prices, seasonally adjusted and annualised",P2: Eastern Cape,2001Q1,160425.91764104
GDP All industries: Gross domestic product (GDPR) at market prices,"R million at constant 2010 prices, seasonally adjusted and annualised",P3: Northern Cape,2001Q1,50208.5310225684
GDP All industries: Gross domestic product (GDPR) at market prices,"R million at constant 2010 prices, seasonally adjusted and annualised",P4: Free State,2001Q1,115096.535076744
GDP All industries: Gross domestic product (GDPR) at market prices,"R million at constant 2010 prices, seasonally adjusted and annualised",P5: KwaZulu-Natal,2001Q1,313174.334831745
GDP All industries: Gross domestic product (GDPR) at market prices,"R million at constant 2010 prices, seasonally adjusted and annualised",P6: North West,2001Q1,146044.484171396
GDP All industries: Gross domestic product (GDPR) at market prices,"R million at constant 2010 prices, seasonally adjusted and annualised",P7: Gauteng,2001Q1,651726.139286618
GDP All industries: Gross domestic product (GDPR) at market prices,"R million at constant 2010 prices, seasonally adjusted and annualised",P8: Mpumalanga,2001Q1,161242.729995928
GDP All industries: Gross domestic product (GDPR) at market prices,"R million at constant 2010 prices, seasonally adjusted and annualised",P9: Limpopo,2001Q1,155872.446307008
GDP All industries: Gross domestic product (GDPR) at market prices,"R million at constant 2010 prices, seasonally adjusted and annualised",Total: South Africa,2001Q2,2021856.234665
GDP All industries: Gross domestic product (GDPR) at market prices,"R million at constant 2010 prices, seasonally adjusted and annualised",P1: Western Cape,2001Q2,260675.871706056
GDP All industries: Gross domestic product (GDPR) at market prices,"R million at constant 2010 prices, seasonally adjusted and annualised",P2: Eastern Cape,2001Q2,160598.794069773
GDP All industries: Gross domestic product (GDPR) at market prices,"R million at constant 2010 prices, seasonally adjusted and annualised",P3: Northern Cape,2001Q2,50011.7303754752
GDP All industries: Gross domestic product (GDPR) at market prices,"R million at constant 2010 prices, seasonally adjusted and annualised",P4: Free State,2001Q2,114623.806697567
GDP All industries: Gross domestic product (GDPR) at market prices,"R million at constant 2010 prices, seasonally adjusted and annualised",P5: KwaZulu-Natal,2001Q2,315168.95428588
GDP All industries: Gross domestic product (GDPR) at market prices,"R million at constant 2010 prices, seasonally adjusted and annualised",P6: North West,2001Q2,146351.574235851
GDP All industries: Gross domestic product (GDPR) at market prices,"R million at constant 2010 prices, seasonally adjusted and annualised",P7: Gauteng,2001Q2,654743.968892058
GDP All industries: Gross domestic product (GDPR) at market prices,"R million at constant 2010 prices, seasonally adjusted and annualised",P8: Mpumalanga,2001Q2,161532.956840749
GDP All industries: Gross domestic product (GDPR) at market prices,"R million at constant 2010 prices, seasonally adjusted and annualised",P9: Limpopo,2001Q2,158148.577561591
GDP All industries: Gross domestic product (GDPR) at market prices,"R million at constant 2010 prices, seasonally adjusted and annualised",Total: South Africa,2001Q3,2025799.461742
GDP All industries: Gross domestic product (GDPR) at market prices,"R million at constant 2010 prices, seasonally adjusted and annualised",P1: Western Cape,2001Q3,261919.531111843
GDP All industries: Gross domestic product (GDPR) at market prices,"R million at constant 2010 prices, seasonally adjusted and annualised",P2: Eastern Cape,2001Q3,160437.187301447
GDP All industries: Gross domestic product (GDPR) at market prices,"R million at constant 2010 prices, seasonally adjusted and annualised",P3: Northern Cape,2001Q3,49700.0640429895
GDP All industries: Gross domestic product (GDPR) at market prices,"R million at constant 2010 prices, seasonally adjusted and annualised",P4: Free State,2001Q3,114362.769114455
GDP All industries: Gross domestic product (GDPR) at market prices,"R million at constant 2010 prices, seasonally adjusted and annualised",P5: KwaZulu-Natal,2001Q3,315913.861427191
GDP All industries: Gross domestic product (GDPR) at market prices,"R million at constant 2010 prices, seasonally adjusted and annualised",P6: North West,2001Q3,145772.481998668
GDP All industries: Gross domestic product (GDPR) at market prices,"R million at constant 2010 prices, seasonally adjusted and annualised",P7: Gauteng,2001Q3,657099.008504976
GDP All industries: Gross domestic product (GDPR) at market prices,"R million at constant 2010 prices, seasonally adjusted and annualised",P8: Mpumalanga,2001Q3,161112.465900605
GDP All industries: Gross domestic product (GDPR) at market prices,"R million at constant 2010 prices, seasonally adjusted and annualised",P9: Limpopo,2001Q3,159482.092339826
